Name,Age,G/GP,A/GP,P/GP
Wayne Gretzky,60,0.601,1.32,1.921
Mario Lemieux,56,0.754,1.129,1.883
Connor McDavid,24,0.479,0.931,1.41
Sidney Crosby,34,0.468,0.808,1.275
Alexander Ovechkin,36,0.61,0.493,1.103
