Stat,Gretzky,Lemieux,McDavid,Crosby, Ovechkin
GoalsPer,0.601,0.754,0.479,0.468,0.61
AssistsPer,1.32,1.129,0.931,0.808,0.493
PointsPer,1.921,1.883,1.41,1.275,1.103
